Lugar;Area;estaca;Esfuerzo;tipo;distancia
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;C;4
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;4
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;C;7
MonteLeon;35;2;1;C;18
MonteLeon;35;2;1;C;17
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;6
MonteLeon;35;2;1;C;3
MonteLeon;35;2;1;C;13
MonteLeon;35;2;1;C;15
MonteLeon;35;2;1;C;15
MonteLeon;35;2;1;M;16
MonteLeon;35;2;1;M;16
MonteLeon;35;2;1;C;16
MonteLeon;35;2;1;C;18
MonteLeon;35;2;1;C;18
MonteLeon;35;2;1;C;19
MonteLeon;35;2;1;C;19
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;M;17
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;M;16
MonteLeon;35;2;1;M;16
MonteLeon;35;2;1;M;17
MonteLeon;35;2;1;M;17
MonteLeon;35;2;1;M;17
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;C;7
MonteLeon;35;2;1;C;8
MonteLeon;35;2;1;C;8
MonteLeon;35;2;1;C;8
MonteLeon;35;2;1;C;8
MonteLeon;35;2;1;C;11
MonteLeon;35;2;1;C;11
MonteLeon;35;2;1;C;11
MonteLeon;35;2;1;C;11
MonteLeon;35;2;1;C;11
MonteLeon;35;2;1;C;11
MonteLeon;35;2;1;M;12
MonteLeon;35;2;1;M;12
MonteLeon;35;2;1;M;12
MonteLeon;35;2;1;M;13
MonteLeon;35;2;1;M;11
MonteLeon;35;2;1;M;11
MonteLeon;35;2;1;M;11
MonteLeon;35;2;1;M;13
MonteLeon;35;2;1;C;13
MonteLeon;35;2;1;C;10
MonteLeon;35;2;1;M;11
MonteLeon;35;2;1;M;12
MonteLeon;35;2;1;M;12
MonteLeon;35;2;1;C;9
MonteLeon;35;2;1;C;9
MonteLeon;35;2;1;C;9
MonteLeon;35;2;1;C;9
MonteLeon;35;2;1;M;6
MonteLeon;35;2;1;C;11
MonteLeon;35;2;1;M;7
MonteLeon;35;2;1;M;7
MonteLeon;35;2;1;M;7
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;M;4
MonteLeon;35;2;1;M;4
MonteLeon;35;2;1;M;4
MonteLeon;35;2;1;M;4
MonteLeon;35;2;1;C;8
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;C;16
MonteLeon;35;2;1;M;17
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;C;4
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;M;5
MonteLeon;35;2;1;M;6
MonteLeon;35;2;1;M;6
MonteLeon;35;2;1;M;6
MonteLeon;35;2;1;M;7
MonteLeon;35;2;1;M;7
MonteLeon;35;2;1;M;7
MonteLeon;35;2;1;C;4
MonteLeon;35;2;1;C;7
MonteLeon;35;2;1;M;8
MonteLeon;35;2;1;M;8
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;19
MonteLeon;35;2;1;C;19
MonteLeon;35;2;1;C;19
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;17
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;M;17
MonteLeon;35;2;1;M;17
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;M;20
MonteLeon;35;2;1;C;17
MonteLeon;35;2;1;C;17
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;C;15
MonteLeon;35;2;1;C;15
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;16
MonteLeon;35;2;1;C;16
MonteLeon;35;2;1;C;16
MonteLeon;35;2;1;C;17
MonteLeon;35;2;1;C;17
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;M;18
MonteLeon;35;2;1;M;19
MonteLeon;35;2;1;C;18
MonteLeon;35;2;1;C;19
MonteLeon;35;2;1;C;18
MonteLeon;35;2;1;C;18
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;20
MonteLeon;35;2;1;C;10
MonteLeon;35;3;1;C;3
MonteLeon;35;3;1;C;4
MonteLeon;35;3;1;C;5
MonteLeon;35;3;1;C;6
MonteLeon;35;3;1;C;7
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;5
MonteLeon;35;3;1;C;6
MonteLeon;35;3;1;C;7
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;M;15
MonteLeon;35;3;1;C;4
MonteLeon;35;3;1;C;6
MonteLeon;35;3;1;C;7
MonteLeon;35;3;1;C;8
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;8
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;19
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;M;17
MonteLeon;35;3;1;M;17
MonteLeon;35;3;1;C;7
MonteLeon;35;3;1;C;17
MonteLeon;35;3;1;C;17
MonteLeon;35;3;1;C;17
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;M;10
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;M;15
MonteLeon;35;3;1;M;15
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;C;14
MonteLeon;35;3;1;C;12
MonteLeon;35;3;1;C;13
MonteLeon;35;3;1;C;14
MonteLeon;35;3;1;C;14
MonteLeon;35;3;1;C;15
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;18
MonteLeon;35;3;1;C;18
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;C;5
MonteLeon;35;3;1;C;5
MonteLeon;35;3;1;C;7
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;C;12
MonteLeon;35;3;1;C;15
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;C;18
MonteLeon;35;3;1;C;17
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;18
MonteLeon;35;3;1;C;6
MonteLeon;35;3;1;C;12
MonteLeon;35;3;1;C;1
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;C;14
MonteLeon;35;3;1;M;16
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;C;13
MonteLeon;35;3;1;C;14
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;M;17
MonteLeon;35;3;1;C;15
MonteLeon;35;3;1;M;6
MonteLeon;35;3;1;M;6
MonteLeon;35;3;1;M;6
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;9
MonteLeon;35;3;1;M;9
MonteLeon;35;3;1;M;9
MonteLeon;35;3;1;M;10
MonteLeon;35;3;1;M;10
MonteLeon;35;3;1;C;18
MonteLeon;35;3;1;C;18
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;M;17
MonteLeon;35;3;1;M;17
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;16
MonteLeon;35;3;1;M;16
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;C;6
MonteLeon;35;3;1;C;6
MonteLeon;35;3;1;C;7
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;114
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;15
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;C;8
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;5
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;8
MonteLeon;35;3;1;M;9
MonteLeon;35;3;1;M;9
MonteLeon;35;3;1;M;9
MonteLeon;35;3;1;M;10
MonteLeon;35;3;1;M;10
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;6
MonteLeon;35;3;1;M;6
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;8
MonteLeon;35;3;1;M;8
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;10
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;C;12
MonteLeon;35;3;1;C;12
MonteLeon;35;3;1;C;12
MonteLeon;35;3;1;C;13
MonteLeon;35;3;1;M;16
MonteLeon;35;3;1;M;16
MonteLeon;35;3;1;M;16
MonteLeon;35;3;1;M;15
MonteLeon;35;3;1;M;15
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;M;19
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;M;13
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;C;16
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;14
MonteLeon;35;3;1;M;12
MonteLeon;35;3;1;M;11
MonteLeon;35;3;1;M;9
MonteLeon;35;3;1;C;20
MonteLeon;35;3;1;C;19
MonteLeon;35;3;1;C;19
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;7
MonteLeon;35;3;1;M;18
MonteLeon;35;3;1;C;17
MonteLeon;35;3;1;C;12
MonteLeon;35;3;1;C;3
MonteLeon;35;3;1;C;3
MonteLeon;35;3;1;C;3
MonteLeon;35;3;1;C;3
MonteLeon;35;3;1;M;5
MonteLeon;35;3;1;C;7
MonteLeon;35;3;1;M;20
MonteLeon;35;3;1;M;8
MonteLeon;35;3;1;M;8
MonteLeon;35;3;1;M;8
MonteLeon;35;3;1;C;9
MonteLeon;35;3;1;C;11
MonteLeon;35;3;1;C;5
MonteLeon;35;3;1;C;8
MonteLeon;35;3;1;C;19
MonteLeon;35;4;1;C;3
MonteLeon;35;4;1;C;3
MonteLeon;35;4;1;M;9
MonteLeon;35;4;1;C;9
MonteLeon;35;4;1;M;9
MonteLeon;35;4;1;M;13
MonteLeon;35;4;1;M;13
MonteLeon;35;4;1;C;12
MonteLeon;35;4;1;M;15
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;M;17
MonteLeon;35;4;1;M;17
MonteLeon;35;4;1;M;20
MonteLeon;35;4;1;M;6
MonteLeon;35;4;1;M;7
MonteLeon;35;4;1;C;8
MonteLeon;35;4;1;C;8
MonteLeon;35;4;1;C;10
MonteLeon;35;4;1;M;12
MonteLeon;35;4;1;M;13
MonteLeon;35;4;1;C;13
MonteLeon;35;4;1;C;13
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;C;15
MonteLeon;35;4;1;C;15
MonteLeon;35;4;1;C;17
MonteLeon;35;4;1;M;17
MonteLeon;35;4;1;M;17
MonteLeon;35;4;1;C;19
MonteLeon;35;4;1;C;19
MonteLeon;35;4;1;M;19
MonteLeon;35;4;1;M;19
MonteLeon;35;4;1;C;16
MonteLeon;35;4;1;C;16
MonteLeon;35;4;1;C;17
MonteLeon;35;4;1;C;16
MonteLeon;35;4;1;C;16
MonteLeon;35;4;1;C;17
MonteLeon;35;4;1;M;15
MonteLeon;35;4;1;C;19
MonteLeon;35;4;1;M;6
MonteLeon;35;4;1;M;6
MonteLeon;35;4;1;M;19
MonteLeon;35;4;1;C;8
MonteLeon;35;4;1;C;8
MonteLeon;35;4;1;C;8
MonteLeon;35;4;1;C;9
MonteLeon;35;4;1;C;9
MonteLeon;35;4;1;M;9
MonteLeon;35;4;1;M;16
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;M;14
MonteLeon;35;4;1;M;3
MonteLeon;35;4;1;M;10
MonteLeon;35;4;1;M;18
MonteLeon;35;4;1;M;18
MonteLeon;35;4;1;C;20
MonteLeon;35;4;1;C;7
MonteLeon;35;4;1;C;8
MonteLeon;35;4;1;C;10
MonteLeon;35;4;1;C;10
MonteLeon;35;4;1;M;11
MonteLeon;35;4;1;M;11
MonteLeon;35;4;1;M;11
MonteLeon;35;4;1;C;12
MonteLeon;35;4;1;C;12
MonteLeon;35;4;1;M;13
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;C;12
MonteLeon;35;4;1;C;13
MonteLeon;35;4;1;C;20
MonteLeon;35;4;1;M;20
MonteLeon;35;4;1;C;17
MonteLeon;35;4;1;C;16
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;M;17
MonteLeon;35;4;1;C;13
MonteLeon;35;4;1;C;19
MonteLeon;35;4;1;C;19
MonteLeon;35;4;1;M;14
MonteLeon;35;4;1;C;16
MonteLeon;35;4;1;M;17
MonteLeon;35;4;1;M;19
MonteLeon;35;4;1;C;15
MonteLeon;35;4;1;C;17
MonteLeon;35;4;1;C;15
MonteLeon;35;4;1;M;15
MonteLeon;35;4;1;C;14
MonteLeon;35;4;1;C;19
MonteLeon;35;4;1;C;17
MonteLeon;35;4;1;C;16
MonteLeon;35;4;1;M;16
MonteLeon;35;4;1;M;12
MonteLeon;35;4;1;M;18
MonteLeon;35;4;1;M;18
MonteLeon;35;4;1;M;18
MonteLeon;35;4;1;C;13
MonteLeon;35;4;1;C;12
MonteLeon;35;4;1;M;17
MonteLeon;35;5;1;C;8
MonteLeon;35;5;1;C;10
MonteLeon;35;5;1;C;9
MonteLeon;35;5;1;C;8
MonteLeon;35;5;1;C;9
MonteLeon;35;5;1;M;15
MonteLeon;35;5;1;C;9
MonteLeon;35;5;1;C;15
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;10
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;C;14
MonteLeon;35;5;1;M;15
MonteLeon;35;5;1;M;15
MonteLeon;35;5;1;M;15
MonteLeon;35;5;1;M;17
MonteLeon;35;5;1;M;17
MonteLeon;35;5;1;M;17
MonteLeon;35;5;1;C;14
MonteLeon;35;5;1;M;15
MonteLeon;35;5;1;M;15
MonteLeon;35;5;1;C;15
MonteLeon;35;5;1;C;16
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;13
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;C;14
MonteLeon;35;5;1;M;20
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;C;18
MonteLeon;35;5;1;C;7
MonteLeon;35;5;1;C;8
MonteLeon;35;5;1;M;17
MonteLeon;35;5;1;M;17
MonteLeon;35;5;1;M;7
MonteLeon;35;5;1;M;8
MonteLeon;35;5;1;M;8
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;9
MonteLeon;35;5;1;M;9
MonteLeon;35;5;1;C;11
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;C;12
MonteLeon;35;5;1;C;13
MonteLeon;35;5;1;C;12
MonteLeon;35;5;1;C;12
MonteLeon;35;5;1;M;14
MonteLeon;35;5;1;C;15
MonteLeon;35;5;1;C;15
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;19
MonteLeon;35;5;1;M;15
MonteLeon;35;5;1;M;17
MonteLeon;35;5;1;C;16
MonteLeon;35;5;1;C;16
MonteLeon;35;5;1;M;13
MonteLeon;35;5;1;M;13
MonteLeon;35;5;1;M;13
MonteLeon;35;5;1;M;13
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;M;18
MonteLeon;35;5;1;M;17
MonteLeon;35;5;1;M;14
MonteLeon;35;5;1;M;14
MonteLeon;35;5;1;C;16
MonteLeon;35;5;1;C;11
MonteLeon;35;5;1;C;10
MonteLeon;35;5;1;C;10
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;C;9
MonteLeon;35;5;1;C;8
MonteLeon;35;5;1;C;14
MonteLeon;35;5;1;C;6
MonteLeon;35;5;1;C;6
MonteLeon;35;5;1;C;5
MonteLeon;35;5;1;C;9
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;M;10
MonteLeon;35;5;1;C;8
MonteLeon;35;5;1;C;9
MonteLeon;35;5;1;C;6
MonteLeon;35;5;1;C;6
MonteLeon;35;5;1;M;7
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;M;11
MonteLeon;35;5;1;M;12
MonteLeon;35;5;1;C;8
MonteLeon;35;5;1;M;3
MonteLeon;35;5;1;C;9
MonteLeon;35;5;1;M;9
MonteLeon;35;5;1;M;10
MonteLeon;35;5;1;M;10
MonteLeon;35;5;1;M;10
MonteLeon;35;5;1;M;9
MonteLeon;35;5;1;M;10
MonteLeon;35;5;1;M;10
MonteLeon;35;6;1;C;4
MonteLeon;35;6;1;C;5
MonteLeon;35;6;1;M;6
MonteLeon;35;6;1;M;5
MonteLeon;35;6;1;M;19
MonteLeon;35;6;1;M;19
MonteLeon;35;6;1;M;19
MonteLeon;35;6;1;M;19
MonteLeon;35;6;1;M;19
